"模块类别","模块/外设","业务用途","MCU引脚","芯片封装脚号","板载/排针信息","信号/复用功能","方向","GPIO/电气配置","通信/定时参数","DMA/中断","初始化入口","来源","备注"
"GPIO/软件SPI","W25Q128","外部 SPI Flash 片选","PG6","91","CN10-13","W25Q128_CS","输出","GPIO_MODE_OUTPUT_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW","软件 SPI","无 DMA/中断","W25Q128_Init","BSP/w25q128/w25q128.h:21-29; BSP/w25q128/w25q128.c:154-181; Core/Src/main.c:121","注释记录第一版接线 CS=PG6"
"GPIO/软件SPI","W25Q128","外部 SPI Flash 时钟","PB2","48","CN9-14 / CN10-17","W25Q128_SCK","输出","GPIO_MODE_OUTPUT_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW","软件 SPI","无 DMA/中断","W25Q128_Init","BSP/w25q128/w25q128.h:21-29; BSP/w25q128/w25q128.c:154-181","注释记录第一版接线 SCK=PB2"
"GPIO/软件SPI","W25Q128","外部 SPI Flash MOSI","PD11","80","CN10-23","W25Q128_MOSI","输出","GPIO_MODE_OUTPUT_PP, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW","软件 SPI","无 DMA/中断","W25Q128_Init","BSP/w25q128/w25q128.h:21-29; BSP/w25q128/w25q128.c:154-181","注释记录第一版接线 MOSI=PD11"
"GPIO/软件SPI","W25Q128","外部 SPI Flash MISO","PD12","81","CN10-21","W25Q128_MISO","输入","GPIO_MODE_INPUT, GPIO_NOPULL, GPIO_SPEED_FREQ_LOW","软件 SPI","无 DMA/中断","W25Q128_Init","BSP/w25q128/w25q128.h:21-29; BSP/w25q128/w25q128.c:154-181","注释记录第一版接线 MISO=PD12"
"定时器","TIM2","内部周期定时/任务节拍相关","无","","","内部时钟","无外部引脚","无 GPIO","Prescaler=4799, Period=9999","TIM2_IRQn priority 8","MX_TIM2_Init","Master.ioc:564-565; Core/Src/tim.c:70-105; Core/Src/tim.c:164-172","使用内部时钟，无对应外部引脚"
"DMA","DMA1","串口接收 DMA 控制器","无","","","内部外设","无外部引脚","无 GPIO","DMA1 clock enable","DMA1_Stream0/1/2/3 IRQ priority 5/5/6/7","MX_DMA_Init","Core/Src/dma.c:35-54; Core/Src/usart.c:395-410; Core/Src/usart.c:451-466; Core/Src/usart.c:544-559; Core/Src/usart.c:600-615","分别服务 USART1_RX、USART3_RX、UART4_RX、USART6_RX"
"CRC","CRC","CRC 硬件外设","无","","","内部外设","无外部引脚","无 GPIO","","无","MX_CRC_Init","Master.ioc:553; Core/Src/main.c:113","无外部引脚"
"系统","FreeRTOS","CMSIS-RTOS V2 任务调度","无","","","软件/虚拟模块","无外部引脚","无 GPIO","","无","MX_FREERTOS_Init","Master.ioc:555; Core/Src/freertos.c:106","无外部引脚"
"系统","SYS timebase","HAL 时基 TIM1","无","","","SYS_VS_tim1","无外部引脚","无 GPIO","TIM1 作为 HAL timebase","TIM1 中断在 timebase 文件中配置","HAL_Init / HAL_InitTick","Master.ioc:562-563; Core/Src/stm32h7xx_hal_timebase_tim.c","虚拟配置，不占用外部 GPIO"
"中间件","X-CUBE-AI","运动识别 AI 推理库","无","","","软件/中间件","无外部引脚","无 GPIO","","无","MX_X_CUBE_AI_Init","Master.ioc:559-561; Core/Src/main.c:114","无外部引脚"
"系统","MemoryMap","内存映射配置","无","","","MEMORYMAP_VS_MEMORYMAP","无外部引脚","无 GPIO","","无","CubeMX 配置","Master.ioc:557","无外部引脚"

